source_file,path_start,path_target,path_label,model_id,agent_id,llm_choices,retrieval_top_k,tot_llm_candidates,success,hops,time_s,failure_reason,optimal_length,efficiency,run_index,path_taken
eval_harness_2runs_20260308_234433.json,Minecraft,Chess,Minecraft -> Chess,Qwen/Qwen3-30B-A3B-Instruct-2507,default,128,,,True,5,28.17,,2,0.4,0,Minecraft → D.I.C.E. Award for Strategy/Simulation Game of the Year → Age of Empires (video game) → Real-time strategy → Turn-based strategy → Chess
eval_harness_2runs_20260308_234433.json,Minecraft,Chess,Minecraft -> Chess,Qwen/Qwen3-30B-A3B-Instruct-2507,default,128,,,True,5,27.38,,2,0.4,1,Minecraft → D.I.C.E. Award for Strategy/Simulation Game of the Year → Age of Empires (video game) → Real-time strategy → Turn-based strategy → Chess
eval_harness_2runs_20260308_234433.json,Minecraft,Chess,Minecraft -> Chess,Qwen/Qwen3-30B-A3B-Instruct-2507,planning,,12,,True,7,290.88,,2,0.2857,0,Minecraft → C++ → Distributed computing → Distributed algorithm → Parallel algorithm → Parallel algorithms for matrix multiplication → DeepMind → Chess
eval_harness_2runs_20260308_234433.json,Minecraft,Chess,Minecraft -> Chess,Qwen/Qwen3-30B-A3B-Instruct-2507,planning,,12,,True,4,65.98,,2,0.5,1,Minecraft → Multiplayer → M.U.L.E. → Strategy video game → Chess
eval_harness_2runs_20260308_234433.json,Minecraft,Chess,Minecraft -> Chess,Qwen/Qwen3-30B-A3B-Instruct-2507,tot,,,128,True,3,9.33,,2,0.6667,0,Minecraft → Sandbox game → Strategy video game → Chess
eval_harness_2runs_20260308_234433.json,Minecraft,Chess,Minecraft -> Chess,Qwen/Qwen3-30B-A3B-Instruct-2507,tot,,,128,True,3,12.69,,2,0.6667,1,Minecraft → Sandbox game → Strategy video game → Chess
eval_harness_2runs_20260308_234433.json,Minecraft,Chess,Minecraft -> Chess,meta-llama/Llama-3.3-70B-Instruct,default,1024,,,True,4,25.08,,2,0.5,0,Minecraft → King (company) → Knighthood (2020 video game) → Strategy game → Chess
eval_harness_2runs_20260308_234433.json,Minecraft,Chess,Minecraft -> Chess,meta-llama/Llama-3.3-70B-Instruct,default,1024,,,True,4,24.6,,2,0.5,1,Minecraft → King (company) → Knighthood (2020 video game) → Strategy game → Chess
eval_harness_2runs_20260308_234433.json,Minecraft,Chess,Minecraft -> Chess,meta-llama/Llama-3.3-70B-Instruct,planning,,128,,True,2,24.93,,2,1.0,0,Minecraft → Game mechanics → Chess
eval_harness_2runs_20260308_234433.json,Minecraft,Chess,Minecraft -> Chess,meta-llama/Llama-3.3-70B-Instruct,planning,,128,,True,2,26.9,,2,1.0,1,Minecraft → Game mechanics → Chess
eval_harness_2runs_20260308_234433.json,Minecraft,Chess,Minecraft -> Chess,meta-llama/Llama-3.3-70B-Instruct,tot,,,1024,True,6,25.59,,2,0.3333,0,Minecraft → Sandbox game → Ernest Adams (game designer) → Game development → Board game development → Board game → Chess
eval_harness_2runs_20260308_234433.json,Minecraft,Chess,Minecraft -> Chess,meta-llama/Llama-3.3-70B-Instruct,tot,,,1024,True,6,23.69,,2,0.3333,1,Minecraft → Sandbox game → Ernest Adams (game designer) → Game development → Board game development → Board game → Chess
eval_harness_2runs_20260308_234433.json,Minecraft,Chess,Minecraft -> Chess,openai/gpt-oss-120b,default,1024,,,True,4,48.56,,2,0.5,0,Minecraft → King (company) → Video game industry → History of video games → Chess
eval_harness_2runs_20260308_234433.json,Minecraft,Chess,Minecraft -> Chess,openai/gpt-oss-120b,default,1024,,,True,4,53.16,,2,0.5,1,Minecraft → Video game developer → Educational video game → Strategy video game → Chess
eval_harness_2runs_20260308_234433.json,Minecraft,Chess,Minecraft -> Chess,openai/gpt-oss-120b,planning,,128,,True,2,27.49,,2,1.0,0,Minecraft → Game mechanics → Chess
eval_harness_2runs_20260308_234433.json,Minecraft,Chess,Minecraft -> Chess,openai/gpt-oss-120b,planning,,128,,True,2,41.07,,2,1.0,1,Minecraft → Artificial intelligence → Chess
eval_harness_2runs_20260308_234433.json,Minecraft,Chess,Minecraft -> Chess,openai/gpt-oss-120b,tot,,,1024,True,3,46.3,,2,0.6667,0,Minecraft → Video game → Checkers (video game) → Chess
eval_harness_2runs_20260308_234433.json,Minecraft,Chess,Minecraft -> Chess,openai/gpt-oss-120b,tot,,,1024,True,3,83.26,,2,0.6667,1,Minecraft → Video game → Strategy video game → Chess
eval_harness_2runs_20260308_234433.json,McDonald's,Yoga,McDonald's -> Yoga,Qwen/Qwen3-30B-A3B-Instruct-2507,default,128,,,True,4,39.03,,2,0.5,0,McDonald's → India → Vedic Sanskrit → Upanishads → Yoga
eval_harness_2runs_20260308_234433.json,McDonald's,Yoga,McDonald's -> Yoga,Qwen/Qwen3-30B-A3B-Instruct-2507,default,128,,,True,4,24.9,,2,0.5,1,McDonald's → India → Vedic Sanskrit → Upanishads → Yoga
